id,name,img,sex,birthday,birthplace,summary
27210801,黄圣依 Eva Huang,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28576.webp,女,1983-02-11,"中国,上海",黄圣依，中国内地知名影视女演员、歌手，曾签约星辉公司，凭借电影《功夫》迅速成为国内颇具代表性的一线女星。1983年2月11日出生于上海，2005年毕业于北京电影学院表演系。在2009年4月的“80后新生代娱乐大明星”评选活动中，黄圣依与刘亦菲、杨幂、王珞丹，被评为内地新“四小花旦”。2011年6月13日在第十四届上海国际电影节上宣布已成立“巨力圣依影视传媒有限公司”，自行管理公司。明星身份之外，黄圣依现已成为中国巨力影视传媒有限公司执行总裁、巨力圣依影视传媒有限公司总裁。
27253787,周星驰 Stephen Chow,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p47421.webp,男,1962-06-22,"中国,香港",著名演员、导演、编剧、电影监制以及电影制作人。曾主演《九品芝麻官》、《长江七号》等多部喜剧影片。捧红过张柏芝、张雨绮等影星。曾获1998年国际杰人会港澳杰人之星奖。其与成龙和周润发并称“双周一成”，意为香港电影票房的保证。
27256003,元华 Wah Yuen,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p3250.webp,男,1952-09-02,中国香港,元华(Wah Yuen，1950年9月2日—），原名容继志，香港演员，“七小福”之一，师承于占元，是为二师兄，与成龙、洪金宝、元彪等同为师兄弟。元华在元家班中地位很高，是香港老一辈的武术指导和功夫巨星。第一次参与演出的电影是《精武门》，也是担任李小龙翻跟斗的指定替身。后来加入邵氏电影公司，拍了很多喜剧。2005年凭电影《功夫》夺得第二十四届香港电影金像奖及第十届金紫荆奖最佳男配角。
27408888,释彦能 Xingyu Shi,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p4821.webp,男,1978-12-27,"中国,山东",释彦能（释行宇）是河南嵩山少林寺第32代弟子，12岁皈依少林，拜少林寺武僧队总教头德扬禅师习武参禅，历时十一年。曾代表少林寺武僧队出访欧美、东南亚等数十国家进行功夫表演及友好访问。2003年在偶然机会下为周星驰所赏识，初登大银幕，参与拍摄电影《功夫》，担演其中主要角色“十二路谭腿”苦力强。后在甄子丹主演的《叶问》中出演武痴林，最近在刘德华和谢霆锋主演的《新少林寺》中饰演少林武僧净空，有出色表现。
27435760,陈国坤 Kwok-Kwan Chan,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437726752.75.webp,男,1975-08-01,"中国,香港",陈国坤，小名：小龙，因貌似李小龙而被大家赏识，原为电影配乐及编舞的等电影幕后工作人员，曾客串过古惑仔，甜言蜜语等电影。2009年第27届飞天奖陈国坤主演的《李小龙传奇》摘得优秀长篇电视剧二等奖。
27481219,冯小刚 Xiaogang Feng,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p45667.webp,男,1958-03-18,"中国,北京,大兴","冯小刚，中国著名电影导演、编剧。冯小刚作品风格以北方京味儿喜剧著称，擅长商业片。是中国大陆最具有票房号召力的导演之一。
冯小刚自幼喜爱美术、文学，高中毕业后进入北京军区文工团，担任舞美设计，先后在《大林莽》、《凯旋在子夜》、《便衣警察》、《好男好女》等几部当时很有影响的电视剧中任美术设计。1985年，他调入北京电视艺术中心成为美工师。《遭遇激情》是他与郑晓龙联合编导的第一部作品，后被夏刚拍成电影，影片获中国电影金鸡奖最佳编剧等四项提名，他与王朔联合编剧的电视系列剧《编辑部的故事》使他成为家喻户晓的人物。
1992年，他与郑晓龙合作写了电影剧本《大撒把》，搬上银幕后，获得第十三届中国电影金鸡奖最佳故事片、最佳编剧等五项提名。1994年，他干起导演，处女作是《永失我爱》，这也是一部城市题材的影片，同時还兼做美工。1997年，冯小刚推出电视剧《月亮背面》。隨后几年，连续推出贺岁电影《甲方乙方》、《不见不散》、《没完没了》，票房成绩不俗。他的《一声叹息》在圈里圈外更是掀起了很大的波澜。与张艺谋、陈凯歌这些被著名电影奖项肯定过的导演相比，冯小刚是以普通观众的口碑建立起自己的电影风格，也是唯一一直在商业领域打滚的导演，在中国大陆电影贺岁档市场拥有巩固的观众群。
2006年出品的古装大片《夜宴》虽然口碑平平，但票房却突破亿元大关。2007年冯小刚执导电影《集结号》在12月上映，票房竞争上与陈可辛巨制电影《投名状》展开直接较量，但《集结号》仍取得2.6亿人民币票房成绩。2009年12月18日，电影《非诚勿扰》回归京味冯式喜剧，堪称是年度最具亲和力和感染力的国产电影，在上映19天后，影片迅速突破3亿人民币票房，冯小刚个人作品的票房总和已经达到10.32亿人民币。
2010年7月22日，冯小刚执导的电影《唐山大地震》在中国大陆和香港同步上映，这是国内第一部华语IMAX电影。在大陆获得良好口碑，上映25天票房超过6亿元人民币大关，成为当时中国电影在大陆票房的最高纪录。2011年初，冯小刚开始筹备电影《温故一九四二》。"
27481226,梁小龙 Siu-Lung Leung,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p11462.webp,男,1948-04-28,"中国,广东,中山",梁小龙早在20世纪70年代就在香港演艺圈和李小龙、成龙、狄龙并称为香港演艺圈“四小龙”。祖籍广东的梁小龙生于香港一个贫寒的家庭，15岁时进入武行，并开始做替身演员。从1973年主演电影《生龙活虎》开始，短短十几年，就拍了《白鹤拳》、《迷魂拳》等70多部电影，后来他进军电视界又连续拍了《射雕英雄传》、《神雕侠侣》、《雪山飞狐》、《霍元甲》、《陈真》、《四大名捕》等1000多集电视剧，成为八十年代初香港最负盛名的武打明星之一。
27480239,林雪 Suet Lam,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p45672.webp,男,1964-07-08,"中国,天津","林雪，香港男演员。小学肄业，十五岁随父母移居香港，少年起便开始做杂工。1986年，林雪进入电影行，做了场务，对演戏发生了兴趣。恰好此时，赶上在《开心鬼撞鬼》剧组开工，认识了导演杜琪峰。在林雪与他相熟后，整天让杜琪峰给自己个角色演，谁知老杜倒反过来劝林雪先做好本职工作。其实这已是委婉拒绝，但林雪并不在意，继续寻找演出机会。
从《傲气雄鹰》、《力王》到《绝代双骄》、《破坏之王》，我们都可以看到林雪在银幕上稍纵即逝的现身，偶尔还会有几句台词。有趣的是，跑龙套期间，林雪戏份最多的电影居然是在周星驰的《食神》中。他被导演安排与田启文、八两金一众长相猥琐之辈混在一起，充当市井无赖，尽管不算抢镜，却也是林雪龙套生涯的巅峰时刻了。
做了十年电影剧组的场务，也跑了十年的龙套，忙忙碌碌，无沉无浮。还曾学过做导演和剪辑工作，但限于知识、天赋，根本做不来。而面对现实的残酷，林雪的演员梦居然一直未醒，旁人笑他痴傻、天生的龙套命，他惘若未闻，仍自顾寻找机会，同时认真演好每一个龙套角色——幸好“苦心人，天不负”，在他的死缠烂打下，又在银河映像制作的《恐怖鸡》、《两个只能活一个》等片中跑过几回龙套之后，老友杜琪峰终于安排他在《暗花》和《非常突然》中演出，戏份虽少，但终归上了演员表末尾。
1999年，杜琪峰开始接连让林雪担任自己影片中的重要配角，杜琪峰在2000年拍《孤男寡女》前，有一段日子比较困难，要去澳门拍一部《再见阿郎》，资金不足，林雪跟导演说：“我不要钱，你让我演，给我两个饭盒就成了。”结果是连剧务带演员，由头做到尾。
《枪火》中的杀手阿肥、《再见阿郎》中的刁恶警官、《暗战》中记忆力差得惊人黑帮跟班，这三个角色各不相同，却皆被林雪演绎得栩栩如生，令观众印象深刻。尤其是在《枪火》中，林雪形神俱佳、内敛细致的精湛表演被提名台湾金马奖最佳男配角，虽然最终未获奖，却赢尽圈内人口碑。而林雪亦凭此一跃成为当红的实力派演员，从此片约不断。在近来香港电影市道低迷、很多演员无戏可排之际，林雪却能每年参演十部以上电影（2001年甚至有近20部），堪称奇迹！
林雪曾多次讲过，将来若能凭演技获奖项肯定，登台致辞的第一句话便是感谢杜琪峰。的确，没有杜琪峰，就没有演员林雪的今天。况且，也只有杜琪峰才为林雪量身订做角色，《钟无艳》中的娘娘腔丞相，《暗战2》中几近赌尽人生的谈判专家，林雪演得愈来愈好，戏份愈来愈重，甚至做到《PTU》中的男主角。对于杜大炮（杜琪峰）的伯乐之恩，林雪表示只能以好好演戏报答了。凭借《PTU》他获得了站在领奖台上，金紫荆奖最佳男配角。他说：“这不是我妈妈给的天生丽质，应该说是多谢杜琪峰！没有杜琪峰，就没有我林雪！”
尽管林雪已是香港颇为有名的演员，可惜与杜汶泽一样，受形象所限，多是演配角。唯一担正的《PTU》也是杜琪峰几年才敢拍一部的个人作品，至于其他商业电影，林雪则只能是充当映衬红花的最佳绿叶罢了。但即便如此，仍挡不住林雪主演一部爱情文艺片的梦想，美女与野兽、铁汉加柔情。——或许别人又会笑他痴人做梦罢，但谁又敢保证这一天不会到来呢？林雪已经用时间和行动证明他是能够将梦想变成现实的。
现在，杜琪峰的片子不说，尔冬升、马伟豪的片子里都经常用他，他已成了一位专业性格演员。他的经验可以让年轻一代借鉴，最重要的是争取演出机会，不要斤斤计较。有戏可演，总比是在家里孤芳自赏好，世界上最好的演员，如果没有演出机会，跟一块废柴是没有分别。向林雪学习吧，年轻人们！"
27495342,董志华 Zhihua Dong,https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1512463196.89.webp,男,,,董志华10岁开始学习京剧，1979年毕业于北京中央艺术团，主修武术表演。他曾和传奇导演张彻合作多部作品，其中包括《西安杀戮》、《过江龙》、《神通》、《大上海1937》等片。他在周星驰电影《功夫》中饰演精通棍术的油炸鬼。
27480564,张一白 Yibai Zhang,https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1522307931.05.webp,男,1963-05-09,"中国,重庆",1963年生，1991年毕业于中央戏剧学院戏剧文学系。1995年成立“同志工作室”，从事MTV、广告拍摄。2001年组建“深度光线文化传播公司”。 2002年张一白拍完电影处女作《开往春天的地铁》后便音训全无长达三年时间，其间去拍过广告、拍过MTV给电视剧做过监制。2006年导演电影有《夜·上海》、《好奇害死猫》、《少年》等。凭借《将爱情进行到底》，张一白捧红了徐静蕾、李亚鹏等一批青春偶像。张一白被媒体称为第六代导演。
